iter	Passed	Remaining
485	878	928
486	879	926
487	880	924
488	882	921
489	882	918
490	883	916
491	884	913
492	885	910
493	886	907
494	886	904
495	887	902
496	888	899
497	889	896
498	889	893
499	890	890
500	891	887
501	892	885
502	893	883
503	895	881
504	896	878
505	897	876
506	898	873
507	898	870
508	899	867
509	900	865
510	901	862
511	902	859
512	902	857
513	903	854
514	904	851
515	905	849
516	906	846
517	907	844
518	908	842
519	909	839
520	911	837
521	911	835
522	912	832
523	913	829
524	914	827
525	915	824
526	915	822
527	916	819
528	917	816
529	918	814
530	918	811
531	919	808
532	920	806
533	921	803
534	922	801
535	923	799
536	924	797
537	925	794
538	926	792
539	927	789
540	927	787
541	928	784
542	929	782
543	930	779
544	930	777
545	931	774
546	932	772
547	933	769
548	934	767
549	935	765
550	936	762
551	936	760
552	937	758
553	938	755
554	939	753
555	940	751
556	941	748
557	942	746
558	942	743
559	943	741
560	944	738
561	945	736
562	945	734
563	946	731
564	947	729
565	948	727
566	948	724
567	949	722
568	950	719
569	950	717
570	951	715
571	952	712
572	953	710
573	955	708
574	956	706
575	957	704
576	957	702
577	958	699
578	959	697
579	959	695
580	960	692
581	961	690
582	962	688
583	963	686
584	964	683
585	964	681
586	965	679
587	966	677
588	967	675
589	968	673
590	969	671
591	970	669
592	971	666
593	972	664
594	972	662
595	973	659
596	974	657
597	975	655
598	975	653
599	976	651
600	977	648
601	978	646
602	978	644
603	979	642
604	980	639
605	980	637
606	981	635
607	982	633
608	983	631
609	984	629
610	985	627
611	985	625
612	986	622
613	987	620
614	988	618
615	988	616
616	989	614
617	990	612
618	991	610
619	992	608
620	993	606
621	993	603
622	994	601
623	995	599
624	996	597
625	996	595
626	998	593
627	999	591
628	1000	589
629	1001	587
630	1001	585
631	1002	583
632	1003	581
633	1004	579
634	1005	577
635	1006	575
636	1007	574
637	1008	572
638	1009	570
639	1010	568
640	1011	566
641	1015	566
642	1016	564
643	1018	562
644	1019	560
645	1019	558
646	1020	556
647	1021	554
648	1022	552
649	1023	550
650	1024	549
651	1025	547
652	1025	545
653	1027	543
654	1029	542
655	1031	540
656	1032	539
657	1034	537
658	1035	535
659	1036	533
660	1037	531
661	1038	530
662	1039	528
663	1040	526
664	1041	524
665	1042	522
666	1047	522
667	1048	521
668	1050	519
669	1053	519
670	1055	517
671	1056	515
672	1057	513
673	1058	512
674	1061	511
675	1062	509
676	1063	507
677	1064	505
678	1065	503
679	1067	502
680	1068	500
681	1069	498
682	1070	496
683	1071	494
684	1072	493
685	1074	492
686	1076	490
687	1077	488
688	1078	486
689	1079	484
690	1079	482
691	1080	480
692	1081	479
693	1082	477
694	1083	475
695	1084	473
696	1085	471
697	1086	470
698	1087	468
699	1092	468
700	1093	466
701	1094	464
702	1095	462
703	1096	460
704	1097	459
705	1099	457
706	1099	455
707	1101	454
708	1101	452
709	1103	450
710	1104	449
711	1106	447
712	1107	445
713	1107	443
714	1108	441
715	1109	440
716	1110	438
717	1111	436
718	1111	434
719	1112	432
720	1113	430
721	1114	429
722	1115	427
723	1115	425
724	1116	423
725	1117	421
726	1119	420
727	1120	418
728	1121	416
729	1122	415
730	1123	413
731	1124	411
732	1124	409
733	1125	407
734	1126	406
735	1127	404
736	1128	402
737	1129	401
738	1130	399
739	1131	397
740	1132	395
741	1132	393
742	1134	392
743	1136	391
744	1137	389
745	1138	387
746	1139	386
747	1140	384
748	1141	382
749	1142	380
750	1143	379
751	1144	377
752	1145	375
753	1146	373
754	1147	372
755	1148	370
756	1149	369
757	1151	367
758	1152	365
759	1153	364
760	1153	362
761	1155	360
762	1155	359
763	1157	357
764	1158	355
765	1159	354
766	1160	352
767	1162	351
768	1163	349
769	1166	348
770	1167	346
771	1168	345
772	1169	343
773	1170	341
774	1171	340
775	1173	338
776	1174	336
777	1174	335
778	1175	333
779	1176	331
780	1177	330
781	1178	328
782	1180	327
783	1181	325
784	1183	324
785	1184	322
786	1184	320
787	1185	319
788	1187	317
789	1188	315
790	1189	314
791	1191	312
792	1192	311
793	1192	309
794	1193	307
795	1195	306
796	1196	304
797	1197	303
798	1198	301
799	1199	299
800	1201	298
801	1202	296
802	1203	295
803	1204	293
804	1205	292
805	1206	290
806	1207	288
807	1207	287
808	1208	285
809	1211	284
810	1212	282
811	1214	281
812	1216	279
813	1217	278
814	1217	276
815	1218	274
816	1219	273
817	1220	271
818	1221	269
819	1222	268
820	1223	266
821	1225	265
822	1227	263
823	1229	262
824	1231	261
825	1232	259
826	1233	258
827	1234	256
828	1235	254
829	1236	253
830	1237	251
831	1238	250
832	1240	248
833	1242	247
834	1243	245
835	1244	244
836	1245	242
837	1246	240
838	1247	239
839	1248	237
840	1249	236
841	1250	234
842	1251	233
843	1252	231
844	1253	229
845	1256	228
846	1257	227
847	1258	225
848	1260	224
849	1260	222
850	1261	220
851	1262	219
852	1263	217
853	1264	216
854	1266	214
855	1267	213
856	1269	211
857	1271	210
858	1272	208
859	1274	207
860	1275	205
861	1276	204
862	1277	202
863	1277	201
864	1278	199
865	1279	197
866	1280	196
867	1281	194
868	1281	193
869	1285	192
870	1288	190
871	1289	189
872	1290	187
873	1291	186
874	1292	184
875	1293	183
876	1294	181
877	1294	179
878	1295	178
879	1296	176
880	1297	175
881	1299	173
882	1301	172
883	1302	170
884	1303	169
885	1304	167
886	1305	166
887	1305	164
888	1306	163
889	1307	161
890	1308	160
891	1308	158
892	1309	156
893	1310	155
894	1311	153
895	1312	152
896	1315	151
897	1316	149
898	1317	148
899	1318	146
900	1319	144
901	1319	143
902	1320	141
903	1321	140
904	1322	138
905	1323	137
906	1324	135
907	1325	134
908	1326	132
909	1326	131
910	1327	129
911	1329	128
912	1330	126
913	1331	125
914	1332	123
915	1333	122
916	1334	120
917	1335	119
918	1335	117
919	1336	116
920	1337	114
921	1338	113
922	1338	111
923	1339	110
924	1340	108
925	1341	107
926	1342	105
927	1342	104
928	1344	102
929	1345	101
930	1347	99
931	1347	98
932	1348	96
933	1349	95
934	1349	93
935	1350	92
936	1351	90
937	1352	89
938	1353	87
939	1353	86
940	1354	84
941	1355	83
942	1355	81
943	1356	80
944	1357	78
945	1357	77
946	1358	76
947	1359	74
948	1360	73
949	1362	71
950	1362	70
951	1363	68
952	1364	67
953	1365	65
954	1366	64
955	1367	62
956	1368	61
957	1368	60
958	1369	58
959	1370	57
960	1370	55
961	1371	54
962	1371	52
963	1372	51
964	1373	49
965	1374	48
966	1375	46
967	1376	45
968	1377	44
969	1377	42
970	1378	41
971	1379	39
972	1380	38
973	1381	36
974	1382	35
975	1383	34
976	1383	32
977	1384	31
978	1385	29
979	1385	28
980	1386	26
981	1387	25
982	1387	24
983	1388	22
984	1389	21
985	1390	19
986	1392	18
987	1392	16
988	1393	15
989	1394	14
990	1395	12
991	1396	11
992	1397	9
993	1398	8
994	1398	7
995	1399	5
996	1400	4
997	1400	2
998	1401	1
999	1402	0
